Squad,Responsibility
Alerting,Internal alertmanager
Alerting,Alert evaluation cycle (i.e. ticker/scheduler)
Alerting,Failures during upgrade due to Alerting-related tables
Alerting,"Alerting UI, incl RBAC enforcement for Enterprise"
Alerting,Alerting provisioning support
Alerting,Enforcement of alert quotas
Alerting,Alerting docs (co-owned with Docs)
AWS Data Sources,AWS features - Sigv4
AWS Data Sources,CloudWatch Metrics data source
AWS Data Sources,CloudWatch Logs data source
AWS Data Sources,Athena data source
AWS Data Sources,Redshift data source
AWS Data Sources,Timestream data source
AWS Data Sources,X-Ray data source
AWS Data Sources,IoT TwinMaker data source
AWS Data Sources,IoT SiteWise data source
AWS Data Sources,Open Search data source
AWS Data Sources,Grafana AWS SDK
AWS Data Sources,Grafana AWS SDK React
AWS Data Sources,AWS Provisioner App
AWS Data Sources,AWS Temporary Credentials in Cloud
AWS Data Sources,Aurora data source
AWS Data Sources,Amazon Managed Prometheus
AWS Data Sources,Elasticsearch data source
BizApps,Admin Portal (admin.grafana.com)
BizApps,Org / Customer Usage & Billing
BizApps,Org / Customer Portal and Email (SendGrid)
BizApps,grafana-com
BizApps,gcom API / CLI
BizApps,IAM (see Identity and Access Management)
BizApps,Stack State Service / Instance management
Dashboards,Dashboard schema
Dashboards,"Panel inspect (query, data, stats and JSON inspect)"
Dashboards,Panel edit
Dashboards,Template variables
Dashboards,Query runners: dashboard & panel
Dashboards,Panel Thresholds
Dashboards,Panel datalinks
Dashboards,Panel field overrides
Dashboards,Panel annotations
Dashboards,Library panels
Dashboards,Dashboard / Panel model
Dashboards,Dashboard settings
Dashboards,Load/save/edit dashboard
Dashboards,Import/export dashboards
Dashboards,Models: Panel & dashboard
Dashboards,Scenes library in grafana/scenes repo
Dashboards,AI: Generate title and desc for panel and dash
Dashboards,Kiosk / TV Mode
Dashboards,Live / Streaming - Frontend
Data Sources Core Services,SQL Expressions
Data Sources Core Services,Query Service
Data Viz,Bar gauge panel
Data Viz,Gauge panel
Data Viz,Pie chart panel
Data Viz,Stat panel
Data Viz,Table panel
Data Viz,XYZ Chart
Data Viz,Datagrid - paused
Data Viz,Drag & Drop - paused
Data Viz,BI App - paused
Data Viz,Transformations
Data Viz,Actions (new)
Data Viz,Bar chart
Data Viz,Candlestick panel
Data Viz,Canvas panel
Data Viz,Geomap
Data Viz,Heatmap
Data Viz,Histogram
Data Viz,Status History
Data Viz,"Panel Menu Help (""Get Help with this Panel"")"
Data Viz,State timeline / Timeline panel
Data Viz,Time series panel
Data Viz,Trend
Data Viz,XY chart
Data Viz,World Map - deprecated
Data Viz,Grafana glue / Correlations
Dataplane WG,Data frame contract
Dataplane WG,Mock datasource plugin
Enterprise Data Sources,Adobe Analytics data source plugin
Enterprise Data Sources,Appdynamics data source plugin
Enterprise Data Sources,Atlassian Statuspage
Enterprise Data Sources,Azure Devops data source plugin
